freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.229e+01,1.345e+02,3.168e+02,5.436e+02
1.6,8.674e+01,2.918e+02,1.986e+02,5.771e+02
3.2,6.657e+01,1.860e+02,4.789e+01,3.004e+02
4.8,8.281e+01,2.526e+02,4.480e+02,7.834e+02
6.4,8.474e+01,2.532e+02,1.450e+03,1.788e+03
7.9,9.848e+01,2.591e+02,1.934e+03,2.292e+03
9.5,9.094e+01,2.676e+02,2.507e+03,2.865e+03
11.1,7.034e+01,2.321e+02,3.651e+03,3.954e+03
12.7,6.837e+01,2.240e+02,4.827e+03,5.119e+03
14.3,7.937e+01,2.418e+02,6.299e+03,6.620e+03
15.9,9.344e+01,2.606e+02,8.007e+03,8.361e+03
17.5,1.078e+02,2.737e+02,9.929e+03,1.031e+04
19.1,9.713e+01,2.667e+02,1.220e+04,1.256e+04
20.7,9.432e+01,2.794e+02,1.480e+04,1.518e+04
22.3,1.069e+02,2.746e+02,1.798e+04,1.836e+04
23.8,1.511e+02,2.728e+02,2.233e+04,2.275e+04
25.4,2.469e+02,3.103e+02,2.779e+04,2.835e+04
27.0,2.164e+02,5.041e+02,2.984e+04,3.057e+04
28.6,2.328e+02,6.367e+02,2.907e+04,2.994e+04
30.2,5.624e+02,7.509e+02,3.254e+04,3.385e+04
31.8,1.121e+03,1.095e+03,3.926e+04,4.148e+04
33.4,1.568e+03,1.418e+03,4.776e+04,5.075e+04
35.0,2.223e+03,1.963e+03,5.854e+04,6.272e+04
36.6,5.928e+03,4.263e+03,7.374e+04,8.393e+04
38.1,2.157e+04,1.210e+04,9.825e+04,1.319e+05
39.7,4.302e+04,2.228e+04,9.681e+04,1.621e+05
41.3,5.295e+04,3.006e+04,8.585e+04,1.689e+05
42.9,5.627e+04,3.551e+04,7.520e+04,1.670e+05
44.5,5.664e+04,3.852e+04,6.471e+04,1.599e+05
46.1,5.650e+04,4.071e+04,5.507e+04,1.523e+05
47.7,5.432e+04,3.968e+04,4.811e+04,1.421e+05
49.3,5.188e+04,3.717e+04,4.224e+04,1.313e+05
