freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.666e+01,3.601e+02,9.731e+00,4.365e+02
1.6,4.845e+01,2.146e+02,2.367e+01,2.867e+02
3.2,1.438e+01,3.908e+01,2.558e+01,7.904e+01
4.8,1.505e+01,3.342e+02,2.804e+01,3.773e+02
6.4,1.757e+01,1.031e+03,2.529e+01,1.074e+03
8.0,2.087e+01,1.844e+03,2.436e+01,1.890e+03
9.6,2.514e+01,2.839e+03,2.486e+01,2.889e+03
11.2,3.132e+01,3.964e+03,2.797e+01,4.024e+03
12.8,3.806e+01,5.267e+03,2.840e+01,5.333e+03
14.4,4.793e+01,7.190e+03,2.726e+01,7.266e+03
15.9,6.895e+01,9.688e+03,2.734e+01,9.784e+03
17.5,9.612e+01,1.247e+04,2.664e+01,1.259e+04
19.1,1.324e+02,1.610e+04,2.999e+01,1.626e+04
20.7,1.824e+02,2.078e+04,3.584e+01,2.100e+04
22.3,2.539e+02,2.667e+04,3.676e+01,2.696e+04
23.9,3.911e+02,3.674e+04,4.656e+01,3.718e+04
25.5,6.142e+02,4.443e+04,8.442e+01,4.513e+04
27.1,9.634e+02,3.523e+04,9.606e+01,3.629e+04
28.7,1.005e+03,3.242e+04,6.570e+01,3.349e+04
30.3,9.752e+02,4.318e+04,5.645e+01,4.421e+04
31.9,1.178e+03,6.138e+04,8.118e+01,6.264e+04
33.5,1.402e+03,8.602e+04,5.788e+01,8.748e+04
35.1,2.568e+03,1.236e+05,5.944e+01,1.262e+05
36.7,7.472e+03,1.856e+05,1.468e+02,1.932e+05
38.3,1.945e+04,2.638e+05,6.050e+02,2.839e+05
39.9,3.879e+04,3.359e+05,1.776e+03,3.765e+05
41.5,6.212e+04,4.183e+05,3.892e+03,4.843e+05
43.1,8.016e+04,4.366e+05,6.190e+03,5.230e+05
44.7,8.977e+04,3.410e+05,6.457e+03,4.372e+05
46.2,9.884e+04,1.988e+05,5.267e+03,3.030e+05
47.8,1.096e+05,9.490e+04,4.168e+03,2.086e+05
49.4,1.238e+05,5.481e+04,3.710e+03,1.823e+05
51.0,1.288e+05,6.003e+04,3.597e+03,1.924e+05
52.6,1.284e+05,1.085e+05,4.054e+03,2.409e+05
54.2,1.588e+05,2.633e+05,5.844e+03,4.280e+05
55.8,2.002e+05,5.261e+05,8.434e+03,7.348e+05
57.4,1.859e+05,6.287e+05,6.674e+03,8.212e+05
59.0,1.661e+05,6.222e+05,2.753e+03,7.911e+05
60.6,1.569e+05,6.022e+05,8.832e+02,7.599e+05
62.2,1.349e+05,5.173e+05,4.908e+02,6.527e+05
63.8,1.011e+05,4.496e+05,3.353e+02,5.511e+05
65.4,7.707e+04,4.128e+05,2.637e+02,4.901e+05
67.0,5.956e+04,3.907e+05,3.850e+02,4.506e+05
68.6,4.594e+04,3.708e+05,6.382e+02,4.174e+05
70.2,3.568e+04,3.508e+05,1.767e+03,3.882e+05
71.8,2.619e+04,3.239e+05,3.821e+03,3.539e+05
73.4,2.178e+04,2.908e+05,4.942e+03,3.175e+05
75.0,2.147e+04,2.620e+05,3.885e+03,2.873e+05
76.6,2.359e+04,2.365e+05,2.647e+03,2.627e+05
78.1,2.656e+04,2.131e+05,2.238e+03,2.419e+05
79.7,2.413e+04,1.769e+05,2.063e+03,2.031e+05
81.3,1.576e+04,1.302e+05,2.471e+03,1.485e+05
82.9,1.113e+04,1.042e+05,3.265e+03,1.186e+05
84.5,7.895e+03,8.604e+04,3.546e+03,9.748e+04
86.1,5.391e+03,7.482e+04,3.370e+03,8.358e+04
87.7,4.788e+03,6.940e+04,2.826e+03,7.701e+04
89.3,5.287e+03,6.667e+04,2.156e+03,7.411e+04
90.9,6.348e+03,6.541e+04,1.775e+03,7.353e+04
92.5,7.516e+03,6.375e+04,1.487e+03,7.275e+04
94.1,8.533e+03,5.814e+04,1.032e+03,6.771e+04
95.7,9.780e+03,5.153e+04,7.345e+02,6.204e+04
97.3,1.139e+04,4.785e+04,6.103e+02,5.985e+04
98.9,1.387e+04,4.371e+04,5.212e+02,5.810e+04
100.5,1.653e+04,3.589e+04,6.307e+02,5.305e+04
102.1,2.325e+04,4.197e+04,1.284e+03,6.650e+04
103.7,2.483e+04,5.439e+04,2.345e+03,8.157e+04
105.3,2.219e+04,5.917e+04,3.522e+03,8.488e+04
106.9,2.044e+04,6.436e+04,5.027e+03,8.983e+04
108.4,1.994e+04,6.834e+04,6.847e+03,9.513e+04
110.0,1.977e+04,7.085e+04,8.740e+03,9.936e+04
111.6,2.125e+04,7.363e+04,1.059e+04,1.055e+05
113.2,2.460e+04,8.291e+04,1.188e+04,1.194e+05
114.8,2.858e+04,1.046e+05,1.225e+04,1.454e+05
116.4,2.807e+04,1.308e+05,1.087e+04,1.698e+05
118.0,2.307e+04,1.472e+05,8.276e+03,1.786e+05
119.6,1.694e+04,1.510e+05,5.728e+03,1.737e+05
121.2,1.134e+04,1.450e+05,3.696e+03,1.601e+05
122.8,7.048e+03,1.317e+05,2.798e+03,1.416e+05
124.4,4.355e+03,1.297e+05,2.117e+03,1.362e+05
126.0,2.254e+03,1.351e+05,1.998e+03,1.394e+05
127.6,1.631e+03,1.247e+05,2.376e+03,1.287e+05
129.2,1.286e+03,1.177e+05,2.264e+03,1.212e+05
130.8,9.986e+02,1.114e+05,2.330e+03,1.147e+05
132.4,7.653e+02,8.379e+04,1.919e+03,8.647e+04
134.0,2.972e+02,1.794e+04,1.149e+03,1.939e+04
135.6,1.634e+02,1.168e+03,1.021e+03,2.352e+03
137.2,1.452e+02,1.143e+03,1.103e+03,2.391e+03
138.7,1.238e+02,1.537e+03,1.114e+03,2.775e+03
140.3,1.285e+02,1.844e+03,1.167e+03,3.139e+03
141.9,1.514e+02,2.068e+03,1.250e+03,3.470e+03
143.5,1.742e+02,2.350e+03,1.407e+03,3.932e+03
145.1,1.992e+02,2.796e+03,1.608e+03,4.604e+03
146.7,2.069e+02,3.355e+03,1.732e+03,5.293e+03
148.3,1.877e+02,3.659e+03,1.445e+03,5.292e+03
149.9,1.812e+02,3.655e+03,1.086e+03,4.922e+03
151.5,2.098e+02,3.135e+03,9.759e+02,4.321e+03
153.1,2.550e+02,2.339e+03,1.008e+03,3.603e+03
154.7,2.965e+02,1.507e+03,1.108e+03,2.911e+03
156.3,3.252e+02,7.850e+02,1.163e+03,2.274e+03
157.9,3.581e+02,7.298e+02,1.265e+03,2.352e+03
159.5,5.302e+02,1.429e+03,1.760e+03,3.719e+03
161.1,9.525e+02,2.513e+03,2.814e+03,6.279e+03
162.7,1.615e+03,3.555e+03,4.337e+03,9.506e+03
164.3,2.639e+03,5.176e+03,6.669e+03,1.448e+04
165.9,3.965e+03,7.333e+03,9.683e+03,2.098e+04
167.5,5.743e+03,9.697e+03,1.384e+04,2.928e+04
169.1,7.332e+03,1.180e+04,1.787e+04,3.701e+04
170.6,7.868e+03,1.362e+04,2.002e+04,4.150e+04
172.2,8.511e+03,1.614e+04,2.277e+04,4.742e+04
173.8,8.577e+03,1.848e+04,2.392e+04,5.098e+04
175.4,8.866e+03,2.093e+04,2.502e+04,5.482e+04
177.0,9.373e+03,2.294e+04,2.594e+04,5.826e+04
178.6,9.762e+03,2.469e+04,2.665e+04,6.111e+04
180.2,9.767e+03,2.420e+04,2.617e+04,6.013e+04
181.8,1.056e+04,2.307e+04,2.737e+04,6.099e+04
183.4,1.028e+04,2.065e+04,2.625e+04,5.718e+04
185.0,8.878e+03,1.712e+04,2.262e+04,4.861e+04
186.6,7.495e+03,1.352e+04,1.893e+04,3.994e+04
188.2,6.256e+03,1.001e+04,1.545e+04,3.171e+04
189.8,5.290e+03,7.859e+03,1.265e+04,2.580e+04
191.4,4.678e+03,6.990e+03,1.091e+04,2.258e+04
193.0,4.180e+03,7.036e+03,9.881e+03,2.110e+04
194.6,4.005e+03,7.613e+03,9.469e+03,2.109e+04
196.2,3.793e+03,6.525e+03,8.561e+03,1.888e+04
197.8,3.520e+03,5.706e+03,7.428e+03,1.665e+04
199.4,3.753e+03,6.341e+03,7.714e+03,1.781e+04
